"Last updated: November 3, 2025","September 2025 payouts will occur on ~November 10, 2025.",,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Oct 7 (1) - Vote YES on ratelimit proposal,Oct 7 (2) - Send IBC transfer,,Provider uptime - must be >0.8 to qualify for TIP this period,Hub uptime - must be >0.8 to qualify for TIP this period
Oldcat - airdrop DHK every month,1,,0,1,0,0,,86%,100%
🐹 Quokka Stake,5,,2,1,1,1,,100%,100%
01node,2,,0,1,0,1,,100%,100%
Alessandro Mazza,1,,0,1,0,0,,0%,100%
Apeiron Nodes,1,,0,1,0,0,,0%,92%
BlockHunters,5,,2,1,1,1,,100%,100%
Blockpower,2,,0,1,0,1,,100%,100%
blockscape,5,,2,1,1,1,,100%,100%
Bro_n_Bro,1,,0,1,0,0,,0%,100%
Citadel.one,5,,2,1,1,1,,99%,100%
Citizen Web3,5,,2,1,1,1,,100%,100%
Compass,5,,2,1,1,1,,100%,100%
Cosmos Spaces,5,,2,1,1,1,,100%,100%
cosmosrescue,5,,2,1,1,1,,98%,98%
Cosmostation,1,,0,1,0,0,,100%,100%
Crouton Digital,5,,2,1,1,1,,100%,100%
CrowdControl,1,,0,1,0,0,,100%,100%
CryptoCrew Validators,5,,2,1,1,1,,100%,100%
dForce,2,,0,1,0,1,,100%,99%
DragonStake,2,,0,1,1,0,,100%,100%
DSRV,1,,0,1,0,0,,100%,100%
Easy 2 Stake,1,,0,1,0,0,,100%,100%
ECO Stake 🌱,5,,2,1,1,1,,100%,100%
Enigma,1,,0,1,0,0,,100%,100%
Everstake,0,,0,0,0,0,,0%,100%
Forbole,1,,0,1,0,0,,0%,100%
"Frens  (🤝,🤝)",1,,0,1,0,0,,0%,100%
Golden Ratio Staking,1,,0,1,0,0,,100%,100%
HashQuark,5,,2,1,1,1,,100%,100%
High Stakes,5,,2,1,1,1,,100%,100%
Huginn,5,,2,1,1,1,,100%,100%
Imperator.co,1,,0,1,0,0,,0%,100%
Inter Blockchain Services,0,,0,0,0,0,,96%,67%
Interstellar Lounge,5,,2,1,1,1,,100%,100%
Irisnet,1,,0,1,0,0,,100%,100%
KalpaTech,5,,2,1,1,1,,100%,100%
Keplr (cosmoshub),1,,0,1,0,0,,0%,100%
kjnodes.com 🦄,5,,2,1,1,1,,100%,100%
KysenPool,1,,0,1,0,0,,0%,100%
Lavender.Five Nodes 🐝,1,,0,1,0,0,,100%,100%
node101,5,,2,1,1,1,,100%,100%
NodeStake,5,,2,1,1,1,,100%,100%
Oni ⛩️,1,,0,1,0,0,,100%,100%
P2P.ORG - P2P Validator,1,,0,1,0,0,,100%,100%
polkachu.com,1,,0,1,0,0,,100%,100%
Provalidator,5,,2,1,1,1,,100%,100%
Quasar,0,,0,0,0,0,,0%,100%
Silk Nodes,5,,2,1,1,1,,100%,100%
Simply Staking,5,,2,1,1,1,,100%,100%
Smart Stake 📈📊,1,,0,1,0,0,,100%,100%
stake.systems,1,,0,1,0,0,,100%,100%
Stake&Relax 🦥,2,,0,1,1,0,,100%,100%
Stakecito,5,,2,1,1,1,,100%,100%
Stakeflow,5,,2,1,1,1,,100%,100%
Stakely,5,,2,1,1,1,,100%,100%
TerraBitcoin Club,4,,2,0,1,1,,93%,99%
Tessellated,5,,2,1,1,1,,100%,100%
Ubik Capital,1,,0,1,0,0,,100%,100%
Virtual Hive,1,,0,1,0,0,,0%,0%
w3coins,4,,2,0,1,1,,98%,100%
WeStaking,5,,2,1,1,1,,100%,99%
WhisperNode,1,,0,1,0,0,,100%,97%
Witval,5,,2,1,1,1,,100%,100%
Ztake.org,5,,2,1,1,1,,100%,100%
NO FEE | Atlas Staking (Autocompound Rewards),1,,0,1,0,0,,0%,100%
Crosnest,1,,0,1,0,0,,100%,100%
pro-nodes75,1,,0,1,0,0,,100%,0%
DELIGHT,1,,0,1,0,0,,100%,0%
papadritta,1,,0,1,0,0,,75%,0%
POSTHUMAN 🧬 StakeDrop,1,,0,1,0,0,,100%,100%