"Last updated: September 2, 2025","August 2025 payouts will occur on ~September 8, 2025.",,,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Aug 12 (1) - Transfer tokens,Aug 12 (2) - Transfer tokens with ICA,Aug 12 (3) - Transfer tokens with PFM,,Provider uptime - must be >0.8 to qualify for TIP this period,Hub uptime - must be >0.8 to qualify for TIP this period
Oldcat - airdrop DHK every month,7,,2,1,1,2,1,,82%,99%
🐹 Quokka Stake,7,,2,1,1,2,1,,100%,100%
01node,7,,2,1,1,2,1,,100%,100%
Alessandro Mazza,1,,0,1,0,0,0,,0%,100%
Apeiron Nodes,1,,0,1,0,0,0,,0%,70%
BlockHunters🎯,7,,2,1,1,2,1,,100%,100%
Blockpower,7,,2,1,1,2,1,,100%,100%
blockscape,1,,0,1,0,0,0,,100%,100%
Bro_n_Bro,7,,2,1,1,2,1,,0%,100%
Citadel.one,2,,0,1,1,0,0,,99%,100%
Citizen Web3,7,,2,1,1,2,1,,100%,99%
Compass,4,,0,1,1,2,0,,100%,100%
Cosmos Spaces,7,,2,1,1,2,1,,100%,100%
cosmosrescue,7,,2,1,1,2,1,,100%,100%
Cosmostation,1,,0,1,0,0,0,,100%,100%
Crouton Digital,7,,2,1,1,2,1,,100%,100%
CrowdControl,7,,2,1,1,2,1,,100%,100%
CryptoCrew Validators,0,,0,0,0,0,0,,59%,100%
dForce,7,,2,1,1,2,1,,100%,100%
DragonStake,7,,2,1,1,2,1,,100%,100%
DSRV,1,,0,1,0,0,0,,100%,100%
Easy 2 Stake,2,,0,1,1,0,0,,100%,100%
ECO Stake 🌱,7,,2,1,1,2,1,,100%,100%
Enigma,1,,0,1,0,0,0,,100%,100%
Everstake,6,,2,0,1,2,1,,21%,100%
Forbole,1,,0,1,0,0,0,,0%,100%
"Frens  (🤝,🤝)",1,,0,1,0,0,0,,0%,100%
Golden Ratio Staking,1,,0,1,0,0,0,,100%,100%
HashQuark,7,,2,1,1,2,1,,100%,100%
High Stakes,7,,2,1,1,2,1,,100%,100%
Huginn,7,,2,1,1,2,1,,100%,99%
Imperator.co,1,,0,1,0,0,0,,0%,100%
Inter Blockchain Services,7,,2,1,1,2,1,,100%,100%
Interstellar Lounge,1,,0,1,0,0,0,,100%,100%
Irisnet,7,,2,1,1,2,1,,82%,100%
KalpaTech,7,,2,1,1,2,1,,98%,100%
Keplr (cosmoshub),1,,0,1,0,0,0,,0%,100%
kjnodes.com 🦄,1,,0,1,0,0,0,,100%,100%
KysenPool,1,,0,1,0,0,0,,0%,100%
Lavender.Five Nodes,1,,0,1,0,0,0,,100%,100%
node101,7,,2,1,1,2,1,,100%,100%
NodeStake,7,,2,1,1,2,1,,100%,100%
Oni ⛩️,1,,0,1,0,0,0,,100%,100%
P2P.ORG - P2P Validator,1,,0,1,0,0,0,,100%,100%
polkachu.com,1,,0,1,0,0,0,,100%,100%
Provalidator,7,,2,1,1,2,1,,100%,100%
Quasar,7,,2,1,1,2,1,,97%,100%
Silk Nodes,1,,0,1,0,0,0,,100%,100%
Simply Staking,7,,2,1,1,2,1,,100%,100%
Smart Stake 📈📊,1,,0,1,0,0,0,,100%,100%
stake.systems,7,,2,1,1,2,1,,100%,100%
Stake&Relax 🦥,7,,2,1,1,2,1,,100%,100%
Stakecito,7,,2,1,1,2,1,,100%,100%
Stakeflow,7,,2,1,1,2,1,,100%,100%
Stakely,7,,2,1,1,2,1,,100%,100%
TerraBitcoin Club,7,,2,1,1,2,1,,100%,100%
Tessellated,1,,0,1,0,0,0,,100%,100%
Ubik Capital,1,,0,1,0,0,0,,100%,100%
Virtual Hive,1,,0,1,0,0,0,,0%,0%
w3coins,7,,2,1,1,2,1,,99%,100%
WeStaking,7,,2,1,1,2,1,,100%,99%
WhisperNode,1,,0,1,0,0,0,,99%,84%
Witval,7,,2,1,1,2,1,,100%,100%
Ztake.org,7,,2,1,1,2,1,,100%,100%